RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000112809	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ENSMUSG00000112810	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000112811	4	0	2	5	2	1	3	3	7	1	3	0	4	2	3
ENSMUSG00000112812	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112813	2	6	5	0	0	1	1	0	0	0	0	0	0	5	4
ENSMUSG00000112814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112816	7	11	0	1	1	0	2	0	6	0	1	2	2	3	2
ENSMUSG00000112817	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112818	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000112819	2	17	5	3	0	0	1	2	3	0	1	0	1	2	1
ENSMUSG00000112820	24	8	3	17	6	0	2	9	5	4	6	20	7	33	12
ENSMUSG00000112821	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000112822	620	994	183	255	340	144	124	133	218	157	277	458	310	269	596
ENSMUSG00000112823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112824	155	325	26	68	61	15	19	38	49	33	35	59	52	27	98
ENSMUSG00000112825	115	126	49	126	104	37	136	177	213	52	55	73	55	51	64
ENSMUSG00000112826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112827	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000112828	2	0	0	3	0	0	1	0	0	1	7	1	8	4	14
ENSMUSG00000112829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112830	21	49	9	5	2	3	0	4	3	0	0	1	5	0	6
ENSMUSG00000112831	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0
ENSMUSG00000112832	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000112833	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112836	4	2	0	0	3	1	0	0	1	1	0	0	1	1	1
ENSMUSG00000112837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112838	0	1	1	0	1	0	0	0	1	0	0	0	2	0	0
ENSMUSG00000112839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000112841	2	0	0	0	0	0	0	0	1	0	4	0	0	0	0
ENSMUSG00000112842	0	1	0	1	0	3	0	0	1	2	0	0	0	0	4
ENSMUSG00000112843	2	0	0	4	5	0	18	19	10	4	131	36	109	0	105
ENSMUSG00000112844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112845	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000112846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112847	17	22	2	0	5	0	1	2	6	1	1	0	12	0	2
ENSMUSG00000112848	0	0	0	0	1	3	0	0	1	0	0	0	0	0	2
ENSMUSG00000112849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112850	2	0	0	0	0	0	1	0	0	1	3	1	1	0	0
ENSMUSG00000112851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112852	15	21	5	2	3	0	0	0	0	4	0	0	3	4	1
ENSMUSG00000112853	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000112854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000112855	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSMUSG00000112856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112860	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0
ENSMUSG00000112861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112863	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3
ENSMUSG00000112864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112865	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0
ENSMUSG00000112866	4	0	0	0	4	6	0	0	5	0	7	0	5	0	0
ENSMUSG00000112867	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000112868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000112869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000112871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112872	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112874	2	0	0	2	2	1	0	0	0	2	0	0	0	0	0
ENSMUSG00000112875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112879	8	9	4	4	6	3	1	3	2	1	0	0	3	4	3
ENSMUSG00000112880	10	15	35	45	24	17	16	29	34	48	19	53	45	26	80
ENSMUSG00000112881	61	102	35	12	24	4	8	16	25	54	34	42	11	27	56
ENSMUSG00000112882	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112885	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000112886	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112888	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1
ENSMUSG00000112889	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0
ENSMUSG00000112890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112891	6	8	3	4	1	2	0	0	3	4	0	0	3	0	2
ENSMUSG00000112892	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0
ENSMUSG00000112893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112894	0	0	0	0	0	0	0	0	0	0	0	1	1	0	7
ENSMUSG00000112895	60	46	20	40	56	21	8	13	16	38	40	40	45	70	106
ENSMUSG00000112896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112897	0	5	0	0	0	4	0	1	0	0	0	0	1	0	0
ENSMUSG00000112898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000112900	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000112901	0	0	0	7	10	3	1	0	3	11	9	11	12	4	13
ENSMUSG00000112902	4	4	7	0	0	0	0	0	1	0	0	1	1	0	0
ENSMUSG00000112903	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1
ENSMUSG00000112904	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000112905	0	0	0	0	0	0	0	0	1	0	0	6	8	0	0
ENSMUSG00000112906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112907	544	828	365	345	238	114	150	178	200	141	264	271	541	335	200
ENSMUSG00000112908	3	2	4	2	0	3	3	5	1	2	4	3	3	1	2
ENSMUSG00000112909	32	34	37	36	32	78	52	64	63	55	51	37	43	40	59
ENSMUSG00000112910	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000112911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112914	2	0	0	0	0	0	0	0	3	1	1	0	2	0	2
ENSMUSG00000112915	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000112916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112917	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112918	5	16	0	2	4	0	0	0	5	1	2	2	3	0	7
ENSMUSG00000112919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112921	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000112922	76	247	43	36	31	20	13	14	22	18	9	30	23	41	29
ENSMUSG00000112923	0	0	0	2	0	1	0	1	0	1	1	1	0	0	0
ENSMUSG00000112924	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1
ENSMUSG00000112925	22	54	15	41	18	17	41	50	42	30	49	24	45	39	83
ENSMUSG00000112926	6	17	8	14	5	21	16	14	14	6	5	4	17	7	12
ENSMUSG00000112927	7	17	0	1	4	0	4	5	5	0	1	1	14	3	7
ENSMUSG00000112928	7	1	0	0	1	0	0	0	0	13	5	0	1	2	0
ENSMUSG00000112929	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000112930	5	0	0	1	1	0	0	0	1	0	0	0	0	0	3
ENSMUSG00000112931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112932	0	0	0	3	1	1	4	7	4	0	0	0	4	0	2
ENSMUSG00000112933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112936	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000112937	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000112938	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000112939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112940	1	0	2	0	0	2	0	0	0	0	1	0	4	0	0
ENSMUSG00000112941	1	0	0	0	0	1	0	0	0	0	0	4	0	0	3
ENSMUSG00000112942	18	29	6	6	6	3	4	1	8	3	5	8	13	2	12
ENSMUSG00000112943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112944	42	43	4	17	21	2	5	17	18	13	17	19	13	13	22
ENSMUSG00000112945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112946	5	1	0	1	3	3	0	0	2	0	2	1	0	1	7
ENSMUSG00000112947	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1
ENSMUSG00000112948	4	2	0	4	3	7	0	0	0	11	1	0	5	0	10
ENSMUSG00000112949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112950	0	0	0	7	2	2	0	1	1	5	1	0	0	2	2
ENSMUSG00000112951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112952	3	0	0	0	0	0	0	0	0	0	1	2	3	0	0
ENSMUSG00000112953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112955	9	27	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112959	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112960	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000112961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112962	2	0	0	0	0	1	0	1	1	3	0	0	5	0	1
ENSMUSG00000112963	0	0	0	0	0	0	33	69	78	8	31	10	8	3	5
ENSMUSG00000112964	313	546	185	335	312	107	87	150	250	97	48	103	115	125	144
ENSMUSG00000112965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112967	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112969	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000112970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112971	22	38	33	11	10	13	4	7	1	1	2	2	4	3	7
ENSMUSG00000112972	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000112973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112975	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112976	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000112977	0	2	0	0	0	0	2	0	0	0	0	3	0	0	0
ENSMUSG00000112978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112980	41	39	19	55	70	135	349	341	308	103	119	69	152	194	320
ENSMUSG00000112981	7	2	0	0	3	0	0	1	0	10	0	4	0	5	4
ENSMUSG00000112982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112983	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000112984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112985	0	1	2	0	0	0	0	3	1	0	4	2	0	1	1
ENSMUSG00000112986	0	3	1	1	0	2	0	0	0	0	0	0	1	1	2
ENSMUSG00000112987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112990	9	0	1	2	1	2	0	0	0	9	3	0	3	0	2
ENSMUSG00000112991	9	30	15	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000112992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112994	1	0	0	0	1	1	0	1	1	1	0	0	2	2	2
ENSMUSG00000112995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112998	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000112999	2	4	0	1	1	0	0	0	2	0	1	1	8	10	8
ENSMUSG00000113000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113001	0	0	0	4	2	0	0	0	0	3	1	0	0	0	0
ENSMUSG00000113002	6	5	5	4	4	10	5	6	1	5	4	1	7	1	2
ENSMUSG00000113003	36	62	18	11	33	26	5	12	17	48	63	66	48	39	190
ENSMUSG00000113004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113005	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113007	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113009	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0
ENSMUSG00000113010	8	9	6	7	10	8	44	42	34	7	352	62	155	3	171
ENSMUSG00000113011	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000113012	3	0	0	1	2	0	3	4	4	1	2	13	17	0	7
ENSMUSG00000113013	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1
ENSMUSG00000113014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113015	35	19	6	9	16	7	7	8	14	1	3	4	7	8	6
ENSMUSG00000113016	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
ENSMUSG00000113017	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113018	3	0	1	0	1	1	1	2	0	0	0	0	1	1	0
ENSMUSG00000113019	23	41	20	21	27	6	25	18	30	15	8	13	12	13	32
ENSMUSG00000113020	15	29	6	3	4	0	1	0	6	2	3	2	4	0	2
ENSMUSG00000113021	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000113022	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0
ENSMUSG00000113023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113024	0	2	0	0	0	0	0	0	0	0	0	0	4	0	3
ENSMUSG00000113025	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000113026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113029	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000113030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113032	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000113033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113035	780	2113	803	717	742	521	196	339	409	280	339	418	404	323	481
ENSMUSG00000113036	20	26	22	29	30	27	14	29	22	15	29	37	56	18	27
ENSMUSG00000113037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113041	8	0	0	4	3	8	1	7	9	9	9	8	3	14	25
ENSMUSG00000113042	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000113043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113044	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113045	61	106	23	27	20	8	7	9	33	13	15	24	15	47	43
ENSMUSG00000113046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113047	370	396	141	325	336	94	71	120	175	92	41	95	101	116	116
ENSMUSG00000113048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113049	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113052	1	6	2	2	1	0	0	0	4	1	8	7	1	2	4
ENSMUSG00000113053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113054	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000113055	1	0	0	2	1	0	0	0	0	0	0	0	1	0	6
ENSMUSG00000113056	0	2	0	0	0	1	0	0	2	1	1	0	1	0	1
ENSMUSG00000113057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113058	9	10	3	0	4	0	0	4	1	13	7	12	17	6	18
ENSMUSG00000113059	23	19	8	23	18	24	19	19	22	11	22	9	12	14	14
ENSMUSG00000113060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113061	682	635	541	564	481	594	615	929	660	396	558	554	562	336	356
ENSMUSG00000113062	0	0	0	0	0	2	0	0	1	0	0	0	0	5	0
ENSMUSG00000113063	4	0	0	0	0	0	0	0	0	4	0	0	0	7	0
ENSMUSG00000113064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113065	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113067	10	35	6	2	4	4	0	1	5	10	4	4	10	10	13
ENSMUSG00000113068	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000113069	2	0	0	1	1	9	0	0	0	0	0	1	1	0	0
ENSMUSG00000113070	1	2	2	1	3	0	0	0	2	0	0	2	2	0	1
ENSMUSG00000113071	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000113072	41	70	13	23	16	6	17	16	16	14	11	23	30	23	30
ENSMUSG00000113073	0	0	0	0	0	0	0	1	0	0	9	1	0	0	0
ENSMUSG00000113074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113075	1	0	0	0	2	1	2	1	0	0	2	0	0	0	1
ENSMUSG00000113076	51	111	1	2	26	2	4	13	25	1	8	8	10	7	39
ENSMUSG00000113077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113078	3	5	0	0	3	0	4	2	7	1	0	0	1	3	16
ENSMUSG00000113079	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113081	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000113082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113083	1	3	3	2	4	0	3	3	3	1	3	1	3	4	1
ENSMUSG00000113084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113085	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000113086	1	2	0	0	0	0	0	0	0	0	0	0	0	1	3
ENSMUSG00000113087	2	3	0	1	0	2	0	1	0	0	0	0	0	0	2
ENSMUSG00000113088	0	0	0	2	0	7	1	0	0	0	0	0	0	0	0
ENSMUSG00000113089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113090	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000113091	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000113092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113093	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000113094	22	38	21	60	67	83	10	8	15	11	26	13	35	23	41
ENSMUSG00000113095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113096	2	5	1	0	0	3	0	0	1	0	1	0	1	0	0
ENSMUSG00000113097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113099	1	0	0	0	0	0	0	0	0	1	0	1	0	0	3
ENSMUSG00000113100	3	1	2	0	0	0	0	0	1	2	0	0	0	0	1
ENSMUSG00000113101	3	0	1	1	1	0	3	5	5	10	7	5	10	2	32
ENSMUSG00000113102	9	20	3	4	2	0	1	0	2	0	3	0	1	7	0
ENSMUSG00000113103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113104	11	17	1	5	3	6	2	0	2	5	7	3	7	12	14
ENSMUSG00000113105	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000113106	9	7	6	2	4	6	7	4	19	24	62	10	15	18	66
ENSMUSG00000113107	0	0	0	0	0	1	2	3	1	0	0	0	1	0	0
ENSMUSG00000113108	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000113109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113111	1	0	1	0	1	0	0	1	0	2	4	0	1	0	0
ENSMUSG00000113112	1	1	0	0	0	1	1	2	0	0	4	0	0	0	5
ENSMUSG00000113113	134	146	133	81	78	108	97	130	126	59	72	53	76	49	85
ENSMUSG00000113114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113118	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000113119	2	8	0	0	2	0	0	1	0	0	5	0	4	1	4
ENSMUSG00000113120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113125	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2
ENSMUSG00000113126	49	92	10	8	18	9	12	9	24	39	20	27	65	27	64
ENSMUSG00000113127	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113128	10	2	7	3	7	20	28	39	36	4	11	12	11	15	27
ENSMUSG00000113129	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000113130	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113131	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
ENSMUSG00000113132	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0
ENSMUSG00000113133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113134	6	0	0	0	0	5	0	0	2	1	5	0	0	0	2
ENSMUSG00000113135	1	0	0	0	0	0	0	0	0	1	0	0	3	0	2
ENSMUSG00000113136	34	14	9	42	71	57	75	181	183	90	513	223	533	122	416
ENSMUSG00000113137	36	104	15	16	8	10	10	16	15	10	16	27	21	20	34
ENSMUSG00000113138	0	0	0	3	3	5	4	5	6	44	33	50	39	49	97
